FID,kmlgeometry
0.0,"<LineString><coordinates>-16.547629721,15.675844407 -16.549913157399999,15.669384265</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.430523206,15.7546050702 -16.431189829400001,15.747180330299999</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.419875274599999,15.672580158399999 -16.432366074,15.6657833457</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.460136084,15.753342108399998 -16.4708604898,15.7625972445</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.377983045899999,15.7371381339 -16.39430533,15.726251646700002</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.5573981177,15.719011910199999 -16.554522313,15.724897932499999</coordinates></LineString>"
6.0,"<LineString><coordinates>-16.5573981177,15.719011910199999 -16.561971920899996,15.708233326799999</coordinates></LineString>"
7.0,"<LineString><coordinates>-16.462807914199999,15.719792826600001 -16.44896518,15.715158194600003</coordinates></LineString>"
8.0,"<LineString><coordinates>-16.462807914199999,15.719792826600001 -16.482024429,15.704867907300001</coordinates></LineString>"
9.0,"<LineString><coordinates>-16.5573981177,15.719011910199999 -16.536061804799999,15.705714759200001</coordinates></LineString>"
